[[0.         0.         0.         0.         0.         0.         0.         0.         0.         1.38629436]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.48448909 0.         0.         0.         0.         0.48448909 0.         0.         0.         0.        ]
 [0.         0.69314718 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.69314718 0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.69314718 0.         0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.57444102 0.         0.         0.         0.57444102 0.57444102 0.        ]
 [0.         0.         0.         0.69314718 0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.69314718 0.         0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.57444102 0.         0.         0.         0.57444102 0.57444102 0.        ]
 [0.         0.         0.         0.77175539 0.         0.59711148 0.         0.77175539 0.99178069 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         1.09861229 0.         0.         0.         0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.275831   0.         0.         0.         0.275831   0.275831   0.275831  ]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.69314718 0.         0.         0.         0.         0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.69314718 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.48448909 0.         0.         0.         0.         0.48448909 0.         0.         0.         0.        ]
 [0.         0.         0.         0.         0.         0.         0.69314718 0.         0.         0.        ]
 [0.         0.31562562 0.         0.8158804  0.         0.         0.         0.8158804  0.88607315 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.69314718 0.         0.         0.         0.         0.        ]
 [0.         0.         0.         0.57444102 0.         0.         0.         0.57444102 0.57444102 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
 [0.         0.         0.         0.36243193 0.         0.         0.         0.36243193 0.36243193 0.        ]
 [0.         0.         0.         0.         0.         0.         0.         0.         0.         0.69314718]
